,trialId,RateOfPheromoneDecay,foodDist,UninformedSearchVariation,RateOfLayingPheromone,RateOfInformedSearchDecay,ProbabilityOfSwitchingToSearching,RateOfSiteFidelity,fitnessScore,fitness,ProbabilityOfReturningToNest
329,329.0,10.0,0.0,0.311711226006,5.06107678347,5.0,0.920509097529,1.59913282543,0.007421875,0.007421875,0.622026039981
392,392.0,10.0,0.0,9.51588335278,5.27128257428,5.0,0.950766898475,19.2936073603,0.00768229166667,0.00768229166667,0.717789949471
32,32.0,9.17193279395,0.0,3.1385360978,0.0963259156063,5.0,0.877806796336,15.6536557621,0.00768229166667,0.00768229166667,0.714242211039
222,222.0,8.80802271598,0.0,0.112616815296,0.661557054091,5.0,0.761558686706,18.5326305906,0.00768229166667,0.00768229166667,0.757583299155
1233,1233.0,10.0,0.0,12.3420910198,4.79834453207,4.99967958256,0.857996450427,1.44017824761,0.0078125,0.0078125,0.737925721417
787,787.0,10.0,0.0,0.171378959372,0.389782149899,5.0,0.665705453805,16.2029992322,0.0078125,0.0078125,0.81169824893
594,594.0,9.99999999999,0.0,12.3300348569,18.1491199402,5.0,0.834674932214,2.14346680656,0.00794270833333,0.00794270833333,0.832164010906
437,437.0,10.0,0.0,0.807737795643,7.33827629405,5.0,0.836727009895,2.75655960199,0.00807291666667,0.00807291666667,0.77249146982
484,484.0,5.67849477544,0.0,7.51819670194,15.32475134,3.92094950301,0.885203838373,19.2779243567,0.00833333333333,0.00833333333333,0.682379621804
442,442.0,10.0,0.0,0.826804800811,18.8455117536,4.35004256714,0.831407612324,10.9799896277,0.00833333333333,0.00833333333333,0.750603308648
819,819.0,2.24298326142,0.0,9.75145767857,19.0072772302,4.99999999974,0.840788859743,0.597979292955,0.00859375,0.00859375,0.635224117239
1005,1005.0,8.45508334162,0.0,12.0264488197,1.3002625104,1.89670726256,0.967364081164,16.7903748603,0.00885416666667,0.00885416666667,0.600701886683
869,869.0,4.97812017834,0.0,1.955641285,15.5367343997,4.88074314794,0.701289138849,0.321489601381,0.00885416666667,0.00885416666667,0.687644771589
274,274.0,8.77337633194,0.0,7.60846252345,0.775599490135,5.0,0.945264817272,0.283290459333,0.00911458333333,0.00911458333333,0.543252493208
301,301.0,9.75112038584,0.0,4.34854406958,0.420049306881,4.71286902893,0.907259807259,1.518348584,0.00924479166667,0.00924479166667,0.637057407369
2077,2077.0,9.99999999999,0.0,10.8762089284,17.0809905363,4.9999999781,0.792753602449,11.5604582658,0.00924479166667,0.00924479166667,0.637732382448
81,81.0,10.0,0.0,12.1801093549,2.31010863193,4.52633390614,0.981301602322,18.8321256128,0.00963541666667,0.00963541666667,0.580917152724
858,858.0,9.99919778321,0.0,9.75312418997,18.8155437936,5.0,0.904383844696,2.47959697152,0.00963541666667,0.00963541666667,0.515786732283
1168,1168.0,9.99999999964,0.0,9.60890107776,8.56966237439,4.99999985996,0.548464588332,8.09059037596,0.009765625,0.009765625,0.829159766656
406,406.0,10.0,0.0,10.720740815,1.57426511452,0.824771506348,0.958309734023,0.559158317931,0.0100260416667,0.0100260416667,0.492241807336
476,476.0,9.59117666334,0.0,1.08628765055,17.8713355054,1.82181129558,0.949323225063,11.1073006239,0.0100260416667,0.0100260416667,0.680961915743
1481,1481.0,8.9740328398,0.0,12.0869731421,19.772850886,4.99570824208,0.674482700059,18.2686030911,0.01015625,0.01015625,0.588722475648
218,218.0,10.0,0.0,12.540119162,15.2878010791,5.0,0.99819169381,1.07291072962,0.0102864583333,0.0102864583333,0.429521436364
656,656.0,9.45578063737,0.0,11.172670934,7.64247107227,0.112429136178,0.999899642302,19.676252706,0.0102864583333,0.0102864583333,0.480742473405
291,291.0,10.0,0.0,12.1565182594,15.95364774,4.10133636461,0.961832962615,8.24313762514,0.010546875,0.010546875,0.561940380907
425,425.0,7.82960938045,0.0,9.89845059476,0.737081157179,4.83622069057,0.992235479883,0.229870325463,0.010546875,0.010546875,0.468374139646
786,786.0,10.0,0.0,0.534288435737,1.04879589328,3.85476890726,0.90316238337,19.5180655677,0.0109375,0.0109375,0.632759858155
996,996.0,10.0,0.0,12.4100853014,18.0977226977,4.99845343212,0.866497987057,19.7959247819,0.0110677083333,0.0110677083333,0.528152007353
619,619.0,10.0,0.0,11.4004870409,1.2651122254,3.92193863751,0.99070640817,17.2217872627,0.0114583333333,0.0114583333333,0.422446267542
99,99.0,3.37090837066,0.0,11.9533360927,3.2630582255,4.999999994,0.922912469265,0.152899351651,0.0118489583333,0.0118489583333,0.444897573587
154,154.0,10.0,0.0,12.5513062149,18.84653331,4.99999999999,0.753914363553,18.8960276911,0.0119791666667,0.0119791666667,0.428688178555
855,855.0,3.62101807269,0.0,1.32433109411,19.0135988387,5.0,0.969628874691,7.65965470556,0.012109375,0.012109375,0.579039082661
