,trialId,fitnessScore,fitness,RateOfLayingPheromone,ProbabilityOfSwitchingToSearching,ProbabilityOfReturningToNest,RateOfInformedSearchDecay,RateOfSiteFidelity,RateOfPheromoneDecay,UninformedSearchVariation
1187,1187.0,0.545963541667,0.545963541667,7.14657919173,0.0571206160534,0.0,1.79599236659,2.69369598404,9.29020571097,11.0207161963
7516,7516.0,0.545963541667,0.545963541667,3.94315086306,0.0807346211672,0.0,1.06840133829,14.4398722,6.21881716165,3.66298446784
8594,8594.0,0.54609375,0.54609375,1.30340258357,0.944996736406,0.0,0.00629018763065,1.07198098989,8.69884052514,5.63588614021
6135,6135.0,0.54609375,0.54609375,14.7682652439,0.385886497764,0.0,2.31274319352,0.280885582373,0.395374145683,0.0485728691679
868,868.0,0.546223958333,0.546223958333,0.666371251202,0.971553321332,0.0,4.97216769684,0.130605586274,9.26524232697,1.71629162832
651,651.0,0.546223958333,0.546223958333,1.51883708818,0.108455158817,0.0,4.44133566363,18.8391641438,8.9137716779,12.4399543202
449,449.0,0.546223958333,0.546223958333,0.0556299993054,0.901090373888,0.0,4.71948231111,19.2468918662,8.63708421777,12.3505692606
433,433.0,0.546354166667,0.546354166667,16.5627767734,0.993334933948,0.0,4.79313014926,0.962641767085,0.636705453332,1.00528720339
7776,7776.0,0.546354166667,0.546354166667,5.75953279113,0.813607486915,0.0,0.166324641393,5.32945830011,5.5572470423,6.223314211
982,982.0,0.546354166667,0.546354166667,0.429262355284,0.0954062888907,0.0,4.16160105816,19.6118584305,0.68710011065,0.970630818305
831,831.0,0.546354166667,0.546354166667,17.1066564958,0.557342059535,0.0,4.60755002855,1.0836657616,0.00341800513936,12.1600738423
1040,1040.0,0.546484375,0.546484375,19.6913211582,0.965177953207,0.0,4.73149948926,0.0827043627469,1.47479208826,0.939056371726
4634,4634.0,0.546614583333,0.546614583333,2.46184692297,0.64603347661,0.0,2.89291342427,11.9444482148,6.54544660744,3.35026228277
251,251.0,0.546614583333,0.546614583333,18.7638930385,0.955246177786,0.0,4.42728828361,0.649290340797,7.72094558075,1.26989913523
2252,2252.0,0.546614583333,0.546614583333,13.7006618148,0.94498491981,0.0,2.84958241903,0.470427357009,5.15933388708,0.875898341844
5628,5628.0,0.546614583333,0.546614583333,3.93759158671,0.93390406427,0.0,3.57548685868,4.82787560343,5.68395026698,5.1855619815
1420,1420.0,0.546744791667,0.546744791667,18.3265480448,0.353155140737,0.0,4.32586038568,0.529602495113,5.59835021885,1.51992780969
37,37.0,0.546744791667,0.546744791667,7.12472677231,0.113413929939,0.0,3.32129836082,5.6266450882,0.0485825538635,1.61574907542
1895,1895.0,0.546875,0.546875,4.18946682964,0.480785472521,0.0,0.351755750689,17.941059568,1.75711621414,2.16736305359
7400,7400.0,0.547005208333,0.547005208333,0.16203401908,0.333018106741,0.0,4.83779799582,19.4859116216,6.22273381078,1.70621626468
7364,7364.0,0.547005208333,0.547005208333,7.52389324084,0.108424779979,0.0,0.279236206042,4.76007204881,9.95734996795,2.07779760812
2918,2918.0,0.547005208333,0.547005208333,0.227553574937,0.125185147453,0.0,4.1258090971,1.23650124894,9.96654367427,0.231672393717
2311,2311.0,0.547135416667,0.547135416667,3.18735322066,0.863468377194,0.0,3.07562448239,11.9461851406,1.4675151328,2.09638239458
398,398.0,0.547265625,0.547265625,19.9954601142,0.599422933643,0.0,4.67277572087,0.372951190092,0.657185044873,11.6629624343
8663,8663.0,0.547265625,0.547265625,11.3257463516,0.236469321613,0.0,4.51184853081,2.71739322575,8.53448582387,7.36925410385
893,893.0,0.547395833333,0.547395833333,19.4306426076,0.998717153913,0.0,4.98487189611,1.69427748493,0.274157586785,9.91561139465
852,852.0,0.547395833333,0.547395833333,0.743913333103,0.924374263989,0.0,4.05083321696,1.70920229077,7.8802496578,12.4292653432
7727,7727.0,0.547526041667,0.547526041667,0.288592142212,0.933435807921,0.0,3.10764442231,19.4157766685,2.03075350958,0.722059871717
2955,2955.0,0.547526041667,0.547526041667,2.67070105178,0.966617941458,0.0,3.02052877311,11.6387149745,8.88816183877,2.93322598626
5631,5631.0,0.547526041667,0.547526041667,0.272473745884,0.185604017655,0.0,2.84073291379,15.255652023,6.34473821538,1.22460516762
2753,2753.0,0.54765625,0.54765625,4.51836821027,0.819904946708,0.0,3.72462029537,0.281129874101,5.73842151999,1.01691768736
2735,2735.0,0.547786458333,0.547786458333,1.88687386496,0.493255740818,0.0,3.08309197317,16.373125919,8.22894057685,1.01835909132
213,213.0,0.547916666667,0.547916666667,18.0457519637,0.0495434926792,0.0,4.9601370823,0.232660339893,0.264048795065,1.31338965458
5234,5234.0,0.547916666667,0.547916666667,4.25780665436,0.818259056828,0.0,0.0912376084222,9.31881515292,3.75584880851,6.49896989421
3089,3089.0,0.547916666667,0.547916666667,5.42542395527,0.34665772236,0.0,0.375391728293,5.41595705795,1.72750006824,0.642361000637
5500,5500.0,0.547916666667,0.547916666667,14.8069470227,0.330817555687,0.0,3.3923338602,1.7627349661,3.33635932912,10.3460606985
5101,5101.0,0.548046875,0.548046875,4.60743647967,0.634364128138,0.0,1.68269327928,4.3758911889,7.22331541724,5.58582596197
8093,8093.0,0.548046875,0.548046875,1.35413124455,0.742006917188,0.0,4.73232014185,1.42116750994,0.27553627527,1.20902701653
4318,4318.0,0.548177083333,0.548177083333,5.3733010847,0.0704918881894,0.0,3.78106847915,0.0476061489384,1.76768603985,12.0521825825
2545,2545.0,0.548177083333,0.548177083333,7.19312993959,0.957924357968,0.0,4.91253199842,0.617386529344,9.95696543234,0.0733345271331
887,887.0,0.548177083333,0.548177083333,19.2476625137,0.815084649457,0.0,0.108615787998,3.40872562617,1.10331964495,12.4078218324
7952,7952.0,0.548307291667,0.548307291667,2.36979652252,0.776493941866,0.0,2.62849662397,16.0184371365,8.27993075172,0.100549873594
3170,3170.0,0.548307291667,0.548307291667,12.9517974901,0.810869557747,0.0,3.39413165945,1.78653303771,0.175117956798,12.1738453172
8970,8970.0,0.548307291667,0.548307291667,8.30554683537,0.196747958897,0.0,2.55213915379,2.03752414004,2.27935003007,0.435609595532
446,446.0,0.5484375,0.5484375,19.8922642841,0.0830531197668,0.0,4.39527182811,1.48455418353,0.918268049639,0.34897173765
6660,6660.0,0.5484375,0.5484375,3.20961371838,0.592479920096,0.0,3.79516998673,12.5176018294,3.53155341807,3.25298240211
4187,4187.0,0.5484375,0.5484375,3.27952048202,0.78519421211,0.0,1.64656527488,17.2574120285,7.86230838834,0.359117826189
4453,4453.0,0.548567708333,0.548567708333,2.45092513256,0.936987616429,0.0,2.94386698102,8.49400499951,3.13293330006,8.32837475108
7955,7955.0,0.548567708333,0.548567708333,2.08698196345,0.848474476661,0.0,3.820488375,12.2824959042,4.36517207711,1.51809119619
