,trialId,foodDist,ProbabilityOfReturningToNest,RateOfInformedSearchDecay,RateOfSiteFidelity,RateOfLayingPheromone,fitnessScore,fitness,RateOfPheromoneDecay,UninformedSearchVariation,ProbabilityOfSwitchingToSearching
324,324.0,1.0,4.21220470682e-14,5.0,19.7275364497,0.350244110488,0.559765625,0.559765625,9.9999964314,2.34695264895,0.935729278618
2393,2393.0,1.0,1.87702070693e-05,5.0,1.88020465756,19.5446935913,0.559765625,0.559765625,9.9999998415,7.55044310425,0.959873397984
2007,2007.0,1.0,0.000199007786235,5.0,16.5464711685,0.719914529751,0.559895833333,0.559895833333,10.0,8.28902026043,0.39494767627
496,496.0,1.0,2.312516594e-14,4.88001950273,0.823196895624,0.081169805396,0.559895833333,0.559895833333,10.0,11.1623740948,0.0257824089882
1640,1640.0,1.0,9.59804527298e-06,0.243118220622,3.53501799537,14.4991692473,0.56015625,0.56015625,9.99999637496,10.0672785856,0.392650269031
1718,1718.0,1.0,3.41592840295e-14,4.75083921358,0.679441391697,16.7559158051,0.560286458333,0.560286458333,9.07184360586,11.3299825795,0.946287627401
199,199.0,1.0,2.55084734656e-14,2.99486208154,1.12713136849,16.9686521324,0.560286458333,0.560286458333,9.99388723542,0.828028904337,0.0350481164401
2371,2371.0,1.0,0.000462647829041,3.62594610244,6.34132945827,0.175957311106,0.560416666667,0.560416666667,10.0,11.783191312,0.914542504832
2251,2251.0,1.0,5.81706890327e-11,4.99999999989,9.77963351733,2.33548839946,0.560416666667,0.560416666667,9.85093888445,7.5845517498,0.41073206867
393,393.0,1.0,1.27401373664e-14,5.0,0.279284074734,1.87186229501,0.560677083333,0.560677083333,0.829872912534,10.7371374259,0.970750439048
172,172.0,1.0,1.56568726004e-14,5.0,14.2148880914,1.16630772728,0.5609375,0.5609375,10.0,0.277808184761,0.78173440088
2408,2408.0,1.0,1.00165655143e-14,4.99999998868,0.511536669804,18.8351883895,0.561067708333,0.561067708333,10.0,12.0854888668,0.739807676717
528,528.0,1.0,3.71572595048e-14,5.0,0.337928078184,18.0387676115,0.561067708333,0.561067708333,8.08486475398,12.5209101336,0.172030851668
2444,2444.0,1.0,0.00119501649903,4.9999981521,0.90711300749,11.030216471,0.561067708333,0.561067708333,9.99999982138,2.33835136585,0.201561622793
1887,1887.0,1.0,2.61687715436e-11,4.99999999996,2.66655711483,5.93326605837,0.561328125,0.561328125,9.99999999924,3.10454644686,0.861609079128
1032,1032.0,1.0,1.81341913476e-13,4.99999999924,11.2238191171,0.873768663301,0.561328125,0.561328125,9.99999997731,1.16952928676,0.383824629622
2122,2122.0,1.0,2.09880364148e-14,4.99999999999,0.936873465462,14.4622380125,0.561328125,0.561328125,9.99902672686,6.79088029813,0.991367689031
