,trialId,foodDist,ProbabilityOfReturningToNest,RateOfInformedSearchDecay,RateOfLayingPheromone,RateOfSiteFidelity,RateOfPheromoneDecay,UninformedSearchVariation,fitnessScore,fitness,ProbabilityOfSwitchingToSearching
2583,2583,2,6.58E-14,0.749062203,1.789717204,19.59743055,9.999999987,2.658762295,0.772786458,0.772786458,0.868755307
2415,2415,2,6.13E-14,0.554145937,1.623924027,19.69062561,9.999999976,2.598711322,0.772916667,0.772916667,0.886923055
2521,2521,2,6.09E-14,0.474009472,1.660808949,19.69336731,9.99999998,2.594309703,0.773567708,0.773567708,0.881179655
1530,1530,2,3.63E-14,0.330869697,1.739310685,19.47732319,9.999999999,2.161701895,0.773697917,0.773697917,0.76610416
1487,1487,2,4.95E-14,0.252110618,1.60845188,19.4204662,9.99999946,2.202372861,0.773828125,0.773828125,0.755420291
1433,1433,2,6.06E-14,0.394506094,1.659772897,19.70985462,9.999999973,2.590127275,0.773828125,0.773828125,0.880500276
1639,1639,2,1.98E-14,0.424619732,1.940724632,19.11838068,10,1.77233736,0.773828125,0.773828125,0.623675788
1635,1635,2,6.69E-14,0.535449108,1.763404189,19.624819,9.999999987,2.656009837,0.774088542,0.774088542,0.87628575
1160,1160,2,5.92E-14,0.359952814,1.650556895,19.7235111,9.999999973,2.575659453,0.77421875,0.77421875,0.879402184
1426,1426,2,5.95E-14,0.387339681,1.648033338,19.71851746,9.999999973,2.578821189,0.774479167,0.774479167,0.88032684
1550,1550,2,5.96E-14,0.392814247,1.64825313,19.71900842,9.999999974,2.579131066,0.774479167,0.774479167,0.880295784
2511,2511,2,6.78E-14,0.509548685,1.786959825,19.60359519,9.999999987,2.649910357,0.774479167,0.774479167,0.869386555
1272,1272,2,5.95E-14,0.388326395,1.648066842,19.71851741,9.999999974,2.579021476,0.774739583,0.774739583,0.880339067
2160,2160,2,5.98E-14,0.410797446,1.646061057,19.71478312,9.999999974,2.581570643,0.774869792,0.774869792,0.881069755
2423,2423,2,6.76E-14,0.51273795,1.788643363,19.60272053,9.999999987,2.65026716,0.774869792,0.774869792,0.869384189
2154,2154,2,5.95E-14,0.389251916,1.648111831,19.71848624,9.999999974,2.579243112,0.774869792,0.774869792,0.8803228
2834,2834,2,6.18E-14,0.584886611,1.627053344,19.68188741,9.999999978,2.604829826,0.774869792,0.774869792,0.887644727
1661,1661,2,5.99E-14,0.412415266,1.647842059,19.71937209,9.999999973,2.576472431,0.77578125,0.77578125,0.880814064
2269,2269,2,6.07E-14,0.426535603,1.682353233,19.69496872,9.999999981,2.591738741,0.776041667,0.776041667,0.877824966
2734,2734,2,6.02E-14,0.394370436,1.651055941,19.73722404,9.999999978,2.603564933,0.776171875,0.776171875,0.888310685
2940,2940,2,6.41E-14,0.432530068,1.673745733,19.7886445,9.999999988,2.695698618,0.776302083,0.776302083,0.91455498
1770,1770,2,6.12E-14,0.535543982,1.63254498,19.69126641,9.999999977,2.597682551,0.7765625,0.7765625,0.885580675
2025,2025,2,5.99E-14,0.391196003,1.649690645,19.72877436,9.999999976,2.592388295,0.776822917,0.776822917,0.884704418
2825,2825,2,6.93E-14,0.551065194,1.795944886,19.57688335,9.999999987,2.642241806,0.776953125,0.776953125,0.871114881
1924,1924,2,5.95E-14,0.387627305,1.647766132,19.71893885,9.999999973,2.578740275,0.777083333,0.777083333,0.880354059
2258,2258,2,4.57E-14,0.361714187,1.702931239,19.60549184,9.999999997,2.374028765,0.777213542,0.777213542,0.825761124
2969,2969,2,5.95E-14,0.385292593,1.64725188,19.71934345,9.999999974,2.580319739,0.77734375,0.77734375,0.880409747
1648,1648,2,6.88E-14,0.524850509,1.66877242,19.69280853,9.999999967,2.631407076,0.777734375,0.777734375,0.879197438
1670,1670,2,2.89E-12,0.495917298,3.223442017,11.38094001,9.999999921,2.636570255,0.777994792,0.777994792,0.637946033
2144,2144,2,6.76E-14,0.512990801,1.788591011,19.60325855,9.999999987,2.650254964,0.778776042,0.778776042,0.869400256
2877,2877,2,5.96E-14,0.390680578,1.647724467,19.71790626,9.999999974,2.57920817,0.779036458,0.779036458,0.880440014
2868,2868,2,5.94E-14,0.382737918,1.641656369,19.73177734,9.99999997,2.567963387,0.780078125,0.780078125,0.880639663
