,trialId,fitnessScore,fitness,RateOfLayingPheromone,ProbabilityOfSwitchingToSearching,ProbabilityOfReturningToNest,RateOfInformedSearchDecay,RateOfSiteFidelity,RateOfPheromoneDecay,UninformedSearchVariation
1210,1210.0,0.74921875,0.74921875,12.8474269456,0.335619389568,0.0,0.401952079558,2.56926078876,6.14089200307,5.46978779876
1060,1060.0,0.74921875,0.74921875,2.88867024239,0.95763634514,0.0,0.475362456551,1.49921962661,1.13294590797,0.21132070426
2849,2849.0,0.749348958333,0.749348958333,1.6165858856,0.924815374301,0.0,0.544625702453,1.96506308582,6.62634770552,3.50325475642
401,401.0,0.749479166667,0.749479166667,18.1168068714,0.0798860441551,0.0,0.21515465777,1.35362451729,0.694781063623,1.11347881736
565,565.0,0.749609375,0.749609375,18.6068061636,0.97947110924,0.0,0.203976836996,0.933300082945,9.51242206536,1.4291734101
2036,2036.0,0.749609375,0.749609375,9.50405631184,0.67364954532,0.0,0.550621666804,2.40506180914,2.08512881253,2.65487478338
2708,2708.0,0.749739583333,0.749739583333,11.773383028,0.966316974371,0.0,0.396390502647,2.22009706831,5.38436646036,2.55721368689
1068,1068.0,0.749739583333,0.749739583333,19.1389362363,0.823641391013,0.0,0.400495742114,1.11943064807,9.65608515735,3.4360032796
1559,1559.0,0.749869791667,0.749869791667,11.3324915084,0.901731581764,0.0,1.8398034895,2.58767098544,8.06137222466,3.21034039507
1001,1001.0,0.749869791667,0.749869791667,1.17259066229,0.0765642473458,0.0,0.410226690237,19.7578108502,9.71657058682,0.331851007752
206,206.0,0.749869791667,0.749869791667,1.56955650315,0.925120112448,0.0,0.341616691136,18.1416791426,5.84111632981,1.40373038698
1926,1926.0,0.750130208333,0.750130208333,7.54952465113,0.877196645699,0.0,0.608932039037,1.63569763158,8.5468305709,0.606410148956
2634,2634.0,0.750130208333,0.750130208333,4.26066433936,0.903049278878,0.0,0.35892288407,1.2766375628,4.32391684888,1.90010685647
1611,1611.0,0.750260416667,0.750260416667,10.6437712899,0.244487603122,0.0,0.305149647446,2.82274318946,7.45038799155,3.29135328403
2901,2901.0,0.750390625,0.750390625,15.9347828075,0.76877624718,0.0,0.658174397565,2.77350331513,3.96810188841,2.32197327725
1685,1685.0,0.750390625,0.750390625,17.9470513195,0.606403089481,0.0,0.241634084067,2.82657371691,2.10925955385,2.47324112369
1397,1397.0,0.750390625,0.750390625,14.820062866,0.892308586494,0.0,0.345684948958,3.06177658625,3.83397236234,3.7830299839
2948,2948.0,0.750390625,0.750390625,7.37229516038,0.991152146582,0.0,0.297616616976,1.59224189555,6.90171270421,2.26863001663
1471,1471.0,0.750520833333,0.750520833333,2.12598280825,0.707372318003,0.0,0.891056788042,5.4838571227,8.82918762991,1.54434388586
2423,2423.0,0.750520833333,0.750520833333,2.20410209375,0.821115181032,0.0,0.680768268379,2.67845595492,6.39362664684,1.3403244493
1624,1624.0,0.750520833333,0.750520833333,14.14914125,0.81293245246,0.0,0.363065596257,1.88382818101,0.749261268999,0.861231751489
1023,1023.0,0.750651041667,0.750651041667,16.2984386354,0.861424543595,0.0,0.350564397419,3.17942763773,0.137185407441,0.529272995063
1820,1820.0,0.751041666667,0.751041666667,14.2450793632,0.914375544022,0.0,0.255843195322,2.82052883737,1.31958692797,2.1063436316
1501,1501.0,0.751041666667,0.751041666667,2.80971050362,0.968305584166,0.0,0.564887554837,9.85860580716,6.44495636675,0.840676283646
2124,2124.0,0.751041666667,0.751041666667,18.4784170553,0.60381959888,0.0,0.369172970435,2.73294968594,1.33994722908,1.78945157142
2800,2800.0,0.751171875,0.751171875,10.6023339122,0.614698753326,0.0,1.66007870603,2.93636945688,4.62972363962,2.0603622747
2748,2748.0,0.751302083333,0.751302083333,1.48026255757,0.883717086913,0.0,0.279190096153,3.56590271234,4.97212720779,2.82848662178
1165,1165.0,0.751302083333,0.751302083333,14.2639678685,0.367051283028,0.0,0.40094809763,0.483725370947,5.70704480232,6.09318820856
2179,2179.0,0.751302083333,0.751302083333,3.87887258419,0.843631645476,0.0,0.47100273255,1.32901440828,6.85823319777,1.5169447941
