,trialId,foodDist,ProbabilityOfReturningToNest,RateOfInformedSearchDecay,RateOfLayingPheromone,RateOfSiteFidelity,RateOfPheromoneDecay,UninformedSearchVariation,fitnessScore,fitness,ProbabilityOfSwitchingToSearching
5,5,2,0.000841333,5,11.87599863,13.68340804,10,5.220820348,0.638020833,0.638020833,0.304060022
1613,1613,2,6.04E-12,5,17.13863841,3.16749302,9.649019375,12.05819504,0.638151042,0.638151042,0.539360387
2222,2222,2,1.58E-05,5,14.06752955,18.10532981,10,4.216226183,0.63828125,0.63828125,0.479687196
2456,2456,2,1.65E-09,4.980041801,3.361135745,11.11319738,10,12.13433593,0.63828125,0.63828125,0.491851011
1004,1004,2,1.08E-14,5,11.34239639,13.48170747,4.848240417,1.235518052,0.638541667,0.638541667,0.97173283
80,80,2,3.75E-05,4.999984346,16.43244287,11.12964158,9.999999996,5.179564729,0.638541667,0.638541667,0.983228794
14,14,2,5.44E-12,4.999999736,6.753146308,5.424335736,9.999983435,10.20735422,0.638932292,0.638932292,0.20063297
2435,2435,2,9.77E-06,4.484624365,15.57321476,19.65845882,9.99999204,0.815082631,0.6390625,0.6390625,0.715987824
910,910,2,2.28E-14,4.999970624,19.11458424,18.88845632,10,0.024098724,0.639192708,0.639192708,0.947354101
2751,2751,2,1.23E-13,4.999999999,11.50490698,17.32156244,9.999999996,4.634498196,0.639453125,0.639453125,0.90805688
412,412,2,0.000290691,4.999999997,18.37752609,11.26149923,10,5.389130248,0.639453125,0.639453125,0.847831748
1022,1022,2,4.89E-09,4.999998339,16.75381795,8.149237526,9.999999948,4.680273751,0.639713542,0.639713542,0.959614786
1561,1561,2,0.000158346,4.999999472,11.5078605,19.82341809,10,5.152447407,0.639713542,0.639713542,0.904784852
632,632,2,8.45E-13,5,10.75271168,9.416268729,9.983047725,7.151354604,0.639713542,0.639713542,0.730631397
2568,2568,2,2.16E-14,4.4809322,15.6325425,4.233551828,9.999999999,10.7486922,0.639973958,0.639973958,0.866692035
571,571,2,0.001142653,4.762174032,19.59694137,19.59174098,10,2.823465486,0.640104167,0.640104167,0.962352279
2327,2327,2,3.25E-08,5,13.058021,13.38401437,10,6.669085723,0.640104167,0.640104167,0.076070925
2213,2213,2,7.61E-09,4.99999998,19.32231292,18.68956078,9.999999967,0.614178663,0.640104167,0.640104167,0.764472238
1964,1964,2,3.27E-13,4.96838866,13.72975343,9.505289244,10,0.709404183,0.640234375,0.640234375,0.602920489
1701,1701,2,2.17E-10,5,14.00997733,4.190412096,9.996181254,9.382114899,0.640494792,0.640494792,0.867628682
2934,2934,2,1.91E-12,5,9.013540194,10.62429337,9.999999997,5.723948043,0.640625,0.640625,0.64311624
312,312,2,6.88E-14,4.929674185,19.87005385,19.61823596,9.956449341,0.152250975,0.641015625,0.641015625,0.975616656
474,474,2,2.82E-13,4.717850983,18.53393584,18.88660445,3.354617033,0.541506118,0.641145833,0.641145833,0.813778723
352,352,2,6.38E-10,3.644831015,9.149482108,10.67341219,9.999981109,7.402630446,0.641276042,0.641276042,0.079937189
311,311,2,5.18E-12,5,19.4715285,0.531875646,5.729132908,2.545866972,0.641536458,0.641536458,0.01244629
596,596,2,1.36E-14,5,18.27064907,3.014641719,10,11.84582818,0.641536458,0.641536458,0.839016933
980,980,2,3.14E-08,0.21423449,18.39729347,1.134210752,2.585526657,12.3711995,0.641666667,0.641666667,0.011557772
478,478,2,4.09E-13,4.321658096,1.455371871,2.615411416,1.837330188,11.65550971,0.641927083,0.641927083,0.017776418
963,963,2,5.06E-14,4.995899065,17.71190632,0.99387732,10,0.296823767,0.642057292,0.642057292,0.017825872
2158,2158,2,1.65E-11,0.920548475,16.42432917,12.35008683,9.999998703,4.977456308,0.642057292,0.642057292,0.92764239
2206,2206,2,1.25E-12,3.243430311,11.00837961,17.86066941,10,0.354519876,0.6421875,0.6421875,0.978969343
2898,2898,2,4.22E-14,4.850012066,13.57554426,14.22856325,10,0.278693707,0.6421875,0.6421875,0.89351039
129,129,2,6.16E-14,4.944514195,12.54176678,13.5267613,9.999757941,4.32543807,0.6421875,0.6421875,0.852385366
2933,2933,2,0.0001118,5,6.509358125,13.62220444,10,8.041515572,0.642317708,0.642317708,0.842289942
1971,1971,2,4.00E-14,0.040071986,1.569422044,19.10550493,9.999985459,1.790496874,0.642317708,0.642317708,0.619294507
1954,1954,2,6.64E-12,4.866957822,14.91942634,13.03262386,9.999446017,4.674421738,0.642447917,0.642447917,0.528985355
1073,1073,2,0.000969768,5,12.87993463,18.39912547,9.999982716,1.109985335,0.642708333,0.642708333,0.960015155
251,251,2,3.38E-05,5,19.22948713,18.30801485,9.995885493,6.091990729,0.642838542,0.642838542,0.580908307
2270,2270,2,5.95E-13,4.997266906,8.243293016,11.41500506,10,5.554802449,0.64296875,0.64296875,0.717943249
2862,2862,2,1.67E-13,4.999930923,9.023473324,16.81951504,9.999990625,5.189884185,0.64296875,0.64296875,0.533631942
1281,1281,2,5.88E-12,5,12.32533883,15.68906397,9.996633369,5.177932409,0.643098958,0.643098958,0.44115354
2565,2565,2,6.40E-06,5,19.14608184,19.19026468,10,3.627491515,0.643098958,0.643098958,0.960189709
209,209,2,1.13E-13,3.486337321,19.86349324,18.13318167,9.716885024,1.021859062,0.643229167,0.643229167,0.060904202
105,105,2,2.93E-14,0.678775935,14.58669577,18.26101474,8.160560708,0.372996309,0.643229167,0.643229167,0.056038926
1430,1430,2,6.63E-14,2.488353529,9.289309974,18.99552026,9.999950254,5.534509188,0.643619792,0.643619792,0.736574839
1716,1716,2,2.12E-10,5,17.62382719,17.88381257,9.999841981,4.478063947,0.643619792,0.643619792,0.842303909
395,395,2,2.80E-11,5,10.52452532,5.271466971,10,9.57804064,0.64375,0.64375,0.462364585
2897,2897,2,0.000304532,5,19.77758978,11.36188651,10,5.731371012,0.643880208,0.643880208,0.685996141
1319,1319,2,6.26E-13,4.999998215,7.557392905,12.78368978,9.99996828,5.084570104,0.643880208,0.643880208,0.391971404
2463,2463,2,2.13E-09,4.999965619,4.710533308,15.55634673,10,9.801362199,0.644140625,0.644140625,0.26127432
1091,1091,2,1.26E-10,4.999932261,8.666254024,15.59299344,9.999973943,5.667529894,0.644140625,0.644140625,0.699685512
2209,2209,2,1.15E-08,4.996666091,14.98909919,15.28372049,9.999997038,0.317447723,0.644140625,0.644140625,0.583682709
76,76,2,1.29E-14,5,2.782280183,17.77273374,10,11.46505639,0.644270833,0.644270833,0.03670922
1470,1470,2,7.82E-13,4.999999844,17.97948564,11.92255408,9.989153519,3.851823692,0.644401042,0.644401042,0.223213848
657,657,2,2.28E-14,5,17.71870194,3.287334246,9.36926201,11.95044943,0.64453125,0.64453125,0.877365021
1953,1953,2,0.000253158,4.999999973,7.483023745,10.55398272,9.9964789,5.836908271,0.64453125,0.64453125,0.304284258
944,944,2,2.12E-13,5,12.38661645,18.07519768,10,0.405651351,0.644661458,0.644661458,0.979545117
2106,2106,2,8.34E-14,4.99941459,10.22922364,12.28431202,9.999959395,6.597836073,0.644661458,0.644661458,0.173632438
16,16,2,2.04E-06,4.999997763,9.038684028,19.82470824,9.999999978,0.039673158,0.644921875,0.644921875,0.916425864
1155,1155,2,7.30E-10,4.086412659,19.43280116,16.10657255,9.999882605,5.815569125,0.645052083,0.645052083,0.718328565
1686,1686,2,8.39E-13,4.999999515,9.856308324,10.81150049,10,6.637644936,0.645182292,0.645182292,0.943938779
2679,2679,2,5.98E-11,4.996437883,7.698152747,15.45240187,9.99984623,6.26240859,0.6453125,0.6453125,0.46642267
1183,1183,2,4.87E-11,4.999958096,5.501791642,18.04739962,9.999990391,7.172535499,0.645442708,0.645442708,0.301751122
641,641,2,6.00E-13,5,19.99622296,18.80351772,9.993619226,0.400957278,0.645703125,0.645703125,0.926185415
2572,2572,2,0.000395575,2.883946058,14.74238184,10.18733372,10,4.868487437,0.645703125,0.645703125,0.805857326
134,134,2,2.58E-14,0.237298321,19.9550134,2.680482323,10,10.45289447,0.645703125,0.645703125,0.025023951
1416,1416,2,5.87E-13,4.997597122,17.13765351,11.40672601,9.961374191,6.342136409,0.645703125,0.645703125,0.257944637
2760,2760,2,0.000124073,3.665205169,12.03343186,17.79819378,10,4.704243438,0.645703125,0.645703125,0.768135471
822,822,2,1.25E-14,5,0.058688134,4.424666895,8.824059158,11.33724501,0.645833333,0.645833333,0.017380426
610,610,2,2.88E-12,5,19.83032291,17.47790438,10,0.688207396,0.645833333,0.645833333,0.930726581
1517,1517,2,0.000795062,5,13.45512318,18.04802581,10,0.11907569,0.645963542,0.645963542,0.878287398
2869,2869,2,2.20E-09,4.999999909,14.99394504,7.901808799,10,6.21782658,0.64609375,0.64609375,0.905044888
269,269,2,1.44E-14,4.996614857,14.29664279,19.98696,8.943508572,0.472852387,0.646354167,0.646354167,0.972937177
1611,1611,2,1.31E-14,5,14.59090796,3.43063001,5.565333909,10.16173326,0.646484375,0.646484375,0.909543038
1599,1599,2,7.99E-07,4.999999731,12.53768274,6.347086104,9.999999998,7.254447941,0.646614583,0.646614583,0.509561605
